"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "erkely"
"11" "84.27" "89" "2" " 6. kerület, Jókai tér " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" "nincs" "18 600 Ft/hó" NA NA
"12" "214.9" "94" "2" " 6. kerület, Andrássy út " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "tetotéri" "nincs megadva" "van" NA NA "9 m²"
"13" "62.9" "55" "1" " 1. kerület, Víziváros – Váralja " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "6 m²"
"14" "92.15" "97" "3" " 13. kerület, Visegrádi utca " "újszeru" "1950-1980 között" "összkomfortos" "AA" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA NA NA
"15" "122.55" "129" "4" " 13. kerület, Visegrádi utca " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA NA NA
"16" "66.5" "70" "3" " 13. kerület, Visegrádi utca " "újszeru" "1950-1980 között" "összkomfortos" "AA" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "utca, közterület" "van" NA NA NA
"17" "64.6" "68" "2" " 13. kerület, Visegrádi utca " "újszeru" "1950-1980 között" "összkomfortos" "A" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "nincs megadva" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" "van" NA NA NA
"18" "85.5" "97" "2" " 2. kerület, Bimbó út " "nincs megadva" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "60.9" "100" "3" " 11. kerület, Lágymányos – Muegyetem környéke " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA "4 m²"
"20" "108" "96" "3" " 12. kerület, Fodor utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "kertre nézo" "igen" "nem tetotéri" "önálló garázs - benne van az árban" NA "30 000 Ft/hó" NA "27 m²"
