"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram"
"11" "47.71" "53" "1" " 6. kerület, Aradi utca " "felújított" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2011" NA NA "7 m²" NA
"12" "172" "106" "3" " 2. kerület, Guyon Richárd utca " "újszeru" "luxus" "nincs megadva" "2" "2" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, mennyezeti hutés-futés" "igen" "külön és egyben is" "délnyugat" "panorámás" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - benne van az árban" "2018" "van" "51 000 Ft/hó" "43 m²" NA
"13" "132" "212" "3" " 2. kerület, Törökvész " "felújított" "duplakomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "dél" "panorámás" "igen" "nincs megadva" "udvari beálló - benne van az árban" "1950-1980 között" "van" NA "47 m²" NA
"14" "20.9" "32" "1" " 21. kerület, Kossuth Lajos utca " "közepes állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "4 m²" "nincs megadva"
"15" "23.5" "35" "1" " 15. kerület, Újpalota " "jó állapotú" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "2 m²" "nincs megadva"
"16" "24.9" "54" "2" " 20. kerület, Helsinki út " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "falfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" NA "utca, közterület - ingyenes" "1950-1980 között" NA NA NA NA
"17" "32.9" "68" "2" " 14. kerület, Vezér utca 53. " "közepes állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "25 000 Ft/hó" "3 m²" "részt vett"
"18" "24.2" "41" "1" " 13. kerület, Szent László út 143. " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület" NA "nincs" NA NA NA
"19" "76.9" "104" "4" " 12. kerület, Böszörményi út 3. " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA NA
"20" "31.9" "51" "2" " 14. kerület, Szugló utca " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "nincs megadva" "délkelet" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "1981-2000 között" NA NA "4 m²" NA
