"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "erkely"
"11" "31.8" "45" "2" " 19. kerület, Mészáros Lorinc utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "igen" "egy helyiségben" "délnyugat" "nincs megadva" "igen" "nincs megadva" NA "udvari beálló - benne van az árban" "1950 elott" NA "14 m²"
"12" "36.5" "74" "2" " 17. kerület, Gombosi utca 17. " "befejezetlen" "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "nincs megadva" "gáz (cirko), padlófutés" NA "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" "igen" "nincs megadva" NA "udvari beálló - benne van az árban" NA NA "9 m²"
"13" "39.5" "65" "3" " 8. kerület, Baross tér 6. " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor), gáz (cirko)" "14 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "1950 elott" "nincs" NA
"14" "44.9" "40" "2" " 13. kerület, Visegrádi utca 30. " "felújított" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "távfutés, elektromos" "8 200 Ft/hó" "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "udvari beálló" "1981-2000 között" NA "5 m²"
"15" "42" "53" "2" " 3. kerület, Pacsirtamezo utca 65. " "felújított" "összkomfortos" "DD" "1" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "30 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA "2 m²"
"16" "53.9" "58" "3" " 8. kerület, Népszínház utca 16. " "felújított" "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület" "2019" "van" "10 m²"
"17" "49.6" "240" "3" " 18. kerület, Madarász utca 2. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"18" "74.9" "89" "3" " 9. kerület, Lónyay utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "42 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "1950 elott" "van" NA
"19" "26.9" "27" "1" " 12. kerület, Hollósy Simon utca " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" NA "utca, közterület" "1950 elott" NA NA
"20" "73.5" "56" "2" " 13. kerület, Danubius utca 16. " "újszeru" "nincs megadva" "nincs megadva" "6" "9" "van" "nincs megadva" "házközponti egyedi méréssel" "30 000 Ft/hó" "igen" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "nem tetotéri" NA "nincs megadva" "2001-2010 között" "van" "19 m²"
