"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "panelprogram" "lakopark_neve" "parkolohely_ara"
"11" "32.9" "51" "1" " 11. kerület, Kelenföldi lakótelep " "közepes állapotú" "nincs megadva" "nincs megadva" "10 felett" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA "nincs megadva" NA NA
"12" "68.9" "59" "3" " 7. kerület, Kis Diófa utca " "felújított" "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"13" "31.5" "64" "3" " 10. kerület, Szent László tér " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "nincs megadva" NA NA
"14" "44" "77" "3" " 18. kerület, Szent Imre-kertváros " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA NA
"15" "40.45" "60" "3" " 17. kerület, Furmintházak " "új építésu" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "12.38 m²" "igen" "nem tetotéri" "udvari beálló - megvásárolható" "2021" "van" NA NA "Furmintházak" "2 M Ft"
"16" "56.83" "87" "4" " 17. kerület, Furmintházak " "új építésu" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "11.46 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2021" "van" NA NA "Furmintházak" "2 M Ft"
"17" "40.44" "60" "3" " 17. kerület, Furmintházak " "új építésu" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12.38 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2021" "van" NA NA "Furmintházak" "2 M Ft"
"18" "71.17" "93" "5" " 17. kerület, Furmintházak " "új építésu" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "93.61 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2021" "van" NA NA "Furmintházak" "2 M Ft"
"19" "71.17" "93" "5" " 17. kerület, Furmintházak " "új építésu" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "93.61 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2021" "van" NA NA "Furmintházak" "2 M Ft"
"20" "52.33" "83" "4" " 17. kerület, Furmintházak " "új építésu" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6.21 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2021" "van" NA NA "Furmintházak" "2 M Ft"
