"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "parkolohely_ara"
"11" "34.9" "52" "2" " 11. kerület, Kelenföldi lakótelep " "felújított" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA "10 000 Ft/hó" "4 m²" NA
"12" "31" "53" "2" " 7. kerület, Damjanich utca " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "északkelet" "utcai" "nem" "nincs megadva" NA "utca, közterület - ingyenes" "1950 elott" "12 000 Ft/hó" NA NA
"13" "26.9" "46" "1" " 14. kerület, Alsórákos " "közepes állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA
"14" "32.9" "65" "2" " 4. kerület, Szent István tér " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"15" "29.2" "57" "4" " 3. kerület, Békásmegyeri lakótelep hegy felol " "jó állapotú" "nincs megadva" "nincs megadva" "9" "10" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "31.9" "51" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "felújított" "nincs megadva" "nincs megadva" "4" "10" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" "nincs megadva" NA NA NA NA
"17" "29.9" "49" "1" " 14. kerület, Ond vezér útja " "jó állapotú" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1950-1980 között" NA "3 m²" NA
"18" "42.98" "55" "2" " 10. kerület, Mongol utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" NA "önálló garázs - benne van az árban" "2001-2010 között" "35 000 Ft/hó" "6 m²" NA
"19" "108" "80" "3" " 10. kerület, Gyárdulo " "újszeru" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "nincs megadva" "nincs megadva" "panorámás" "nem" "nem tetotéri" NA "önálló garázs - benne van az árban" "2001-2010 között" NA "80 m²" NA
"20" "108" "80" "3" " 10. kerület, Gyárdulo " "újszeru" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "nincs megadva" "nincs megadva" "panorámás" "nem" "nem tetotéri" NA "önálló garázs - benne van az árban" "2001-2010 között" NA "80 m²" NA
