"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"11" "174" "160" "5" " 13. kerület, Pozsonyi út " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"12" "43.05" "54" "2" " 4. kerület, Újpest " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "dél" "utcai" "9.01 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA "2 M Ft"
"13" "29.99" "30" "1" " 13. kerület, Hegedus Gyula utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "10 000 Ft/hó" NA NA
"14" "59.9" "94" "2" " 11. kerület, Kelenföld " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"15" "78.45" "80" "3" " 9. kerület, Sobieski János utca 15. " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "északnyugat" "utcai" "20 m²" "nem" "tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
"16" "33.5" "61" "2" " 4. kerület, Sporttelep utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "dél" "panorámás" "4 m²" "igen" "nem tetotéri" "utca, közterület" "nincs" "35 075 Ft/hó" "részt vett" NA
"17" "35" "57" "2" " 4. kerület, Attila utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "egy helyiségben" "kelet" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" "van" "35 000 Ft/hó" NA NA
"18" "68" "98" "2" " 7. kerület, Hernád utca " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"19" "54" "95" "3" " 7. kerület, Izabella utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "25.9" "47" "2" " 17. kerület, Kaszáló utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "2 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "6 000 Ft/hó" "nincs megadva" NA
