"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "lakopark_neve" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"11" "28.9" "38" "1" " 9. kerület, Bokréta utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "igen" "nincs megadva" "délkelet" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"12" "28.9" "38" "1" " 9. kerület, Bokréta utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "igen" "nincs megadva" "délkelet" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"13" "31.5" "50" "2" " 11. kerület, Etele út " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "9" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA NA "nem vett részt"
"14" "30.71" "31" "1" " 9. kerület, Márton utca " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"15" "67" "94" "3" " 6. kerület, Szív utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"16" "29.85" "28" "1" " 12. kerület, Krisztinaváros " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"17" "29.8" "59" "2" " 19. kerület, Nagykorösi út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "panorámás" "6 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "van" NA NA NA
"18" "35.9" "50" "2" " 22. kerület, Budatétény " "jó állapotú" "2019" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"19" "70.58" "68" "2.5" " 11. kerület, Budai Walzer I. ütem " "új építésu" "2021" "összkomfortos" "nincs megadva" "3" "több mint 10" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délkelet" "kertre nézo" "21.96 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "Budai Walzer I. ütem" "van" "4 M Ft" NA NA
"20" "40.26" "37" "1" " 11. kerület, Budai Walzer I. ütem " "új építésu" "2021" "összkomfortos" "nincs megadva" "2" "több mint 10" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "egy helyiségben" "kelet" "kertre nézo" "18.36 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "Budai Walzer I. ütem" "van" "4 M Ft" NA NA
