"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "rezsikoltseg" "legkondicionalo"
"11" "32.8" "65" "3" " 3. kerület, Óbudai lakótelep " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva" NA NA
"12" "96" "155" "4" " 16. kerület, Árpádföld " "újszeru" "2018" "duplakomfortos" "CC" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön és egyben is" "délnyugat" "kertre nézo" "20 m²" "igen" "nem tetotéri" "önálló garázs - kötelezo megvenni" "3 M Ft" NA "35 000 Ft/hó" "van"
"13" "47.9" "50" "2" " 9. kerület, Ráday utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "nincs megadva" NA NA NA "van"
"14" "39.9" "65" "2" " 18. kerület, Tövishát utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "kelet" "kertre nézo" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"15" "39.9" "68" "3" " 4. kerület, Szigeti József utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva" NA "van"
"16" "27.9" "51" "2" " 3. kerület, Szentendrei út " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"17" "25.5" "61" "2" " 15. kerület, Nyírpalota út " "nincs megadva" NA "nincs megadva" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "2.7 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA "nincs"
"18" "26.4" "50" "2" " 10. kerület, Szövoszék utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "dél" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "részt vett" "30 000 Ft/hó" "nincs"
"19" "44.9" "75" "2" " 8. kerület, Bauer Sándor utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "cserépkályha" "nem" "külön helyiségben" "kelet" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA "nincs"
"20" "38.9" "54" "2" " 11. kerület, Hadak útja 4. " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
