"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "lakopark_neve" "parkolohely_ara"
"11" "97.7" "108" "4" " 11. kerület, Lágymányos – Muegyetem környéke " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "7" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "igen" "külön és egyben is" "nincs megadva" "kertre nézo" NA "nem" "nincs megadva" "utca, közterület" NA NA NA
"12" "33.4" "55" "2" " 3. kerület, Kaszásduloi lakótelep " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" "nincs megadva" NA NA
"13" "55.9" "89" "3" " 7. kerület, Péterfy Sándor utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "van" NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"14" "139.9" "102" "4" " 1. kerület, Batthyány utca " "felújított" "1950 elott" "duplakomfortos" "CC" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "külön és egyben is" "nincs megadva" "panorámás" "1.5 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"15" "249.99" "167" "5" " 2. kerület, Margit körút 5/A " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "van" NA "nincs megadva" "nincs megadva" "dél" "utcai" "9 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"16" "29.9" "50" "2" " 11. kerület, Kelenföld " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" NA "nincs megadva" "külön helyiségben" "észak" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"17" "46" "61" "3" " 15. kerület, Vasutaskert " "új építésu" "2020" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "igen" "külön és egyben is" "északkelet" "kertre nézo" "4.5 m²" "nem" "nem tetotéri" "udvari beálló - kötelezo megvenni" NA "Vasutaskert" "1.6 M Ft"
"18" "54.9" "95" "3" " 14. kerület, Törökor " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "van" "40 000 Ft/hó" "nincs megadva" "külön helyiségben" "dél" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"19" "46.5" "46" "1" " 11. kerület, Bartók Béla út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"20" "89" "59" "2" " 5. kerület, Ferenciek tere 5. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "van" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
