"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "lakopark_neve" "parkolohely_ara"
"11" "68.8" "77" "3" " 13. kerület, Turóc utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" NA "teremgarázs hely - bérelheto" NA "13.5 m²" NA NA NA
"12" "62.97" "74" "3" " 13. kerület, Béke Residence " "új építésu" "2022" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "igen" "nincs megadva" "észak" "nincs megadva" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA "13.73 m²" NA "Béke Residence" "2.99 M Ft"
"13" "53.9" "69" "2" " 6. kerület, Nagymezo utca " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"14" "41.49" "46" "2" " 8. kerület, Rigó III Lakópark " "új építésu" "2021" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "5.08 m²" NA "Rigó III Lakópark" "4.8 M Ft"
"15" "51.99" "49" "2" " 11. kerület, Sasad " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "délkelet" "kertre nézo" "nem" "nem tetotéri" NA "utca, közterület" NA "6 m²" NA NA NA
"16" "49.9" "42" "1" " 7. kerület, Dob utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA NA NA NA NA
"17" "58.8" "45" "1" " 6. kerület, Andrássy út " "közepes állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"18" "119" "57" "2" " 5. kerület, Apáczai Csere János utca 3. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA "30 000 Ft/hó" NA NA
"19" "44.9" "52" "1" " 5. kerület, Bihari János utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA NA NA
"20" "22.9" "47" "1" " 18. kerület, Kele utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "északkelet" "utcai" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - ingyenes" "nincs" "5 m²" "13 800 Ft/hó" NA NA
