"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "lakopark_neve" "parkolohely_ara"
"11" "33.5" "53" "2" " 4. kerület, Újpest-Központ " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA NA
"12" "34.9" "88" "2" " 10. kerület, Korösi Csoma sétány " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "udvari" NA "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"13" "45.9" "85" "3" " 6. kerület, Szófia utca " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "északkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA NA
"14" "29.9" "34" "1" " 7. kerület, István utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"15" "33.9" "34" "1" " 13. kerület, Visegrádi utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"16" "26" "44" "1" " 10. kerület, Kápolna utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA NA
"17" "69" "68" "1" " 11. kerület, Péterhegy " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (cirko)" "nem" "nincs megadva" "északkelet" "kertre nézo" "29 m²" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" NA NA NA NA NA
"18" "53.9" "75" "3" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA NA
"19" "68" "40" "1" " 1. kerület, Naphegy utca 29. " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "igen" "külön helyiségben" "délkelet" "panorámás" "2.78 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA NA NA "6 M Ft"
"20" "225" "94" "4" " 1. kerület, Naphegy utca 29. " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "nem" "külön helyiségben" "délkelet" "panorámás" "11 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA NA NA NA
