"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara" "panelprogram"
"11" "26.5" "64" "3" " 10. kerület, Korösi Csoma Sándor út 9. " "nincs megadva" NA "nincs megadva" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" NA "nincs megadva" NA NA NA NA
"12" "65" "89" "3" " 2. kerület, Frankel Leó út " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"13" "32.9" "48" "2" " 11. kerület, Etele út 48. " "felújítandó" NA "összkomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "3 m²" NA "nincs megadva"
"14" "26.5" "49" "2" " 10. kerület, Kobánya – Újhegyi lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" NA NA "nincs megadva"
"15" "50.5" "63" "2" " 7. kerület, István utca 41-43. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "35 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"16" "127.9" "116" "3" " 9. kerület, Boráros tér " "újszeru" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "4" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"17" "155" "111" "3" " 11. kerület, Ménesi út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "16 m²" NA NA
"18" "26.9" "59" "2" " 19. kerület, Kispest-Óváros " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"19" "23.6" "46" "1" " 21. kerület, Árpád utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "részt vett"
"20" "57" "50" "1" " 6. kerület, Teréz körút " "felújított" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "falfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
