"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"11" "85" "76" "3" " 14. kerület, Egressy út 113. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "25 000 Ft/hó" NA
"12" "24.99" "36" "1" " 14. kerület, Kerepesi út 38. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "igen" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA "4 300 Ft/hó" NA
"13" "69.9" "69" "2" " 5. kerület, Falk Miksa utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA "20 000 Ft/hó" NA
"14" "34.9" "56" "2" " 11. kerület, Igmándi utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"15" "26.8" "46" "1" " 14. kerület, Kerepesi út 128-130. " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "10" "van" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" NA "nincs megadva" NA NA
"16" "65.9" "86" "2" " 7. kerület, Erzsébet körút 1. " "közepes állapotú" "1950 elott" "összkomfortos" "AA+" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "igen" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "30 000 Ft/hó" NA
"17" "76" "80" "3" " 9. kerület, Drégely utca " "újszeru" "2001-2010 között" "duplakomfortos" "CC" "6" "7" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "van" "igen" "külön és egyben is" "délkelet" "panorámás" "nem" "zárószint" "teremgarázs hely - bérelheto" "10 m²" NA NA "20 000 Ft/hó"
"18" "28.5" "51" "2" " 3. kerület, Búza utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nem" "nincs megadva" "utca, közterület" NA "nincs megadva" NA NA
"19" "51.4" "76" "2" " 11. kerület, Budafoki út " "felújítandó" "1950-1980 között" "összkomfortos" "CC" "4" "6" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület" "5 m²" NA NA NA
"20" "31.5" "68" "3" " 10. kerület, Szövoszék utca " "felújított" NA "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" "3 m²" "részt vett" NA NA
