"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara"
"11" "135.95" "121" "4" " 11. kerület, Madárhegy " "új építésu" "2019" "luxus" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "megújuló energia" NA "nem" "külön és egyben is" "délnyugat" "panorámás" "41 m²" "igen" "nincs megadva" "teremgarázs hely" NA NA
"12" "105" "161" "6" " 11. kerület, Eszék utca " "közepes állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "11 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"13" "50" "64" "2" " 11. kerület, Saru utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"14" "125" "157" "6" " 11. kerület, Balogh lejto " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "5" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön és egyben is" "nincs megadva" "utcai" "3.9 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"15" "63.5" "72" "3" " 12. kerület, Németvölgy " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "6" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "délkelet" "nincs megadva" "2 m²" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"16" "35" "44" "1" " 11. kerület, Kelenföld " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "nem" "külön helyiségben" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"17" "62" "105" "3" " 11. kerület, Kelenföld " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "5 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"18" "62.5" "90" "2" " 2. kerület, Lorántffy Zsuzsanna lépcso " "felújítandó" "1950 elott" "összkomfortos" "GG" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "8 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"19" "34.99" "45" "1" " 13. kerület, Visegrádi utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "nincs megadva" "nyugat" "nincs megadva" "5.5 m²" "nincs megadva" "nincs megadva" "utca, közterület" "nincs megadva" NA
"20" "44.9" "54" "1" " 13. kerület, Teve utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
