"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram"
"11" "85" "106" "3" " 6. kerület, Eötvös utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "44" "87" "4" " 3. kerület, Hímzo utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva"
"13" "32.9" "48" "2" " 15. kerület, Pestújhely " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"14" "27.8" "36" "1" " 13. kerület, Fiastyúk utca " "nincs megadva" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "távfutés egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "északkelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"15" "44.9" "67" "3" " 3. kerület, Silvanus sétány " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "távfutés" "van" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "4 m²" "nincs megadva"
"16" "18.5" "34" "2" " 8. kerület, Baross utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"17" "25.9" "29" "1" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nem" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "9 500 Ft/hó" NA NA
"18" "135.5" "112" "4" " 13. kerület, Béke tér " "új építésu" "2019" "duplakomfortos" "nincs megadva" "6" "6" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "penthouse" "nincs megadva" NA "103 m²" NA
"19" "95.97" "84" "4" " 13. kerület, Béke tér " "új építésu" "2019" "nincs megadva" "nincs megadva" "6" "6" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "penthouse" "nincs megadva" NA "62 m²" NA
"20" "22.5" "33" "1" " 14. kerület, Törökor " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "dél" "utcai" "nem" "legfelso emelet, nem tetotéri" "nincs megadva" "10 000 Ft/hó" NA NA
