"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "lakopark_neve" "parkolohely_ara"
"11" "39.6" "49" "2" " 13. kerület, Greenside " "új építésu" "2020" "összkomfortos" "CC" "4" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "igen" "külön helyiségben" "északnyugat" "utcai" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "1.78 m²" NA "Greenside" "3.2 M Ft"
"12" "34" "43" "2" " 7. kerület, Peterdy utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "22.5" "36" "1" " 10. kerület, Gyárduloi lakótelep " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"14" "20.4" "34" "1" " 22. kerület, Temeto utca " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "gáz (konvektor)" "van" NA "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"15" "134.9" "193" "3" " 2. kerület, Felhévíz " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" "2 m²" NA NA NA
"16" "100" "100" "3" " 5. kerület, Belváros " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "tetotéri" "nincs megadva" NA NA NA NA
"17" "36.3" "40" "1" " 2. kerület, Kacsa utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "135" "85" "3" " 5. kerület, Szent István körút " "felújított" NA "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "nincs megadva" NA NA "nincs megadva" "egy helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "32.99" "63" "2" " 8. kerület, Baross utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"20" "67.9" "108" "3" " 6. kerület, Rózsa utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "nyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA NA NA
