"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "parkolohely_ara" "rezsikoltseg"
"11" "26.9" "56" "3" " 21. kerület, Katona József utca 1-3 " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"12" "39.9" "55" "2" " 8. kerület, Mária utca " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "külön és egyben is" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"13" "38" "56" "2" " 14. kerület, Ungvár utca " "újszeru" "1950-1980 között" "duplakomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "utca, közterület" NA NA "10 000 Ft/hó"
"14" "25" "22" "1" " 2. kerület, Újlak " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"15" "41.9" "68" "3" " 13. kerület, Röppentyu köz " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "dél" "panorámás" "nem" "legfelso emelet, nem tetotéri" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "35 000 Ft/hó"
"16" "40.9" "68" "3" " 13. kerület, Petneházy utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés" "van" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - fizetos övezet" "3 m²" NA "35 000 Ft/hó"
"17" "27.6" "53" "1" " 17. kerület, Egészségház utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "25 000 Ft/hó"
"18" "41.8" "51" "2" " 10. kerület, Kápolna tér " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "nincs" NA "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nincs megadva" NA "önálló garázs - megvásárolható" "1 m²" NA NA
"19" "30.9" "59" "3" " 19. kerület, Jáhn Ferenc utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"20" "84" "84" "3" " 2. kerület, Aszú utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
