"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "panelprogram" "lakopark_neve"
"11" "71.56" "70" "3" " 11. kerület, Sasad Resort Hilltop by Cordia " "új építésu" "2021" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nem" "külön és egyben is" "kelet" "udvari" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "12 m²" "3.5 M Ft" NA "Sasad Resort Hilltop by Cordia"
"12" "150" "96" "4" " 3. kerület, Szent István utca 81. " "új építésu" "2020" "duplakomfortos" "nincs megadva" "2" "3" "van" "nincs megadva" "nincs megadva" "van" NA "igen" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" "teremgarázs hely" "90 m²" NA NA NA
"13" "59.9" "80" "2.5" " 8. kerület, Kálvária utca " "új építésu" "2020" "duplakomfortos" "nincs megadva" "1" "7" "van" "nincs megadva" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "9.01 m²" "3.25 M Ft" NA NA
"14" "74.9" "70" "3" " 13. kerület, Frangepán utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel, padlófutés" "van" "16 000 Ft/hó" "igen" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló - megvásárolható" "6 m²" "2.5 M Ft" NA NA
"15" "33.9" "56" "2" " 13. kerület, Angyalföld – Fiastyúk utcai lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nem" "nincs megadva" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület" "16 m²" NA NA NA
"16" "61.9" "68" "2" " 7. kerület, Marek József utca 3. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"17" "69.9" "80" "3" " 13. kerület, Kresz Géza utca 44-46 " "nincs megadva" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "van" NA "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "nincs megadva" "udvari beálló" "8 m²" NA NA NA
"18" "39.9" "68" "3" " 3. kerület, Óbuda-Óváros " "közepes állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" NA "nem" "külön és egyben is" "kelet" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"19" "55" "54" "2" " 5. kerület, Molnár utca " "felújított" NA "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"20" "51.9" "69" "3" " 3. kerület, Zápor utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "20 000 Ft/hó" "igen" "külön helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "4.9 M Ft" NA NA
