"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "parkolohely_ara"
"11" "35.5" "49" "2" " 3. kerület, Szolo utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "részt vett" NA
"12" "51.9" "69" "2" " 7. kerület, Hernád utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "5" "van" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"13" "39.8" "54" "1" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"14" "79.5" "94" "3" " 3. kerület, Királyok útja " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "kelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "16 m²" NA NA
"15" "26.9" "63" "3" " 20. kerület, Topánka utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "8 m²" "nincs megadva" NA
"16" "22.19" "52" "2" " 19. kerület, Arany János utca 30. " "felújítandó" NA "nincs megadva" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA
"17" "95" "85" "3" " 9. kerület, Ráday utca " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nem" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"18" "53.9" "61" "2" " 7. kerület, Dob utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"19" "25.8" "35" "1" " 15. kerület, Erdokerülo utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" NA
"20" "65" "65" "2" " 11. kerület, Kelenföld " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "igen" "nincs megadva" "udvari beálló - benne van az árban" "4 m²" NA NA
