"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"11" "47.4" "54" "3" " 3. kerület, Óbuda-Óváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "észak" "udvari" "igen" "nincs megadva" NA "nincs megadva" NA NA "19 000 Ft/hó" NA
"12" "152" "126" "4" " 11. kerület, Madárhegy " "újszeru" "2017" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "34 m²" NA NA NA
"13" "335" "139" "5" " 2. kerület, Bimbó út 80. " "újszeru" "2022" "luxus" "AA+" "1" "nincs megadva" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "igen" "külön és egyben is" "délnyugat" "panorámás" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "37 m²" "van" NA "6 M Ft"
"14" "32.5" "50" "2" " 3. kerület, Hadrianus utca " "felújított" NA "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "részt vett" "nincs megadva" "4 m²" NA NA NA
"15" "23.9" "44" "1" " 10. kerület, Kobánya-Városközpont " "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" NA NA "nincs megadva" NA NA NA NA
"16" "49.99" "55" "2" " 13. kerület, Jász utca " "újszeru" "2019" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "12 m²" NA NA NA
"17" "39.8" "42" "1" " 13. kerület, Újlipótváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA "9 000 Ft/hó" NA
"18" "31.9" "52" "2" " 10. kerület, Vika köz " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "igen" "nincs megadva" NA "utca, közterület" NA NA NA NA
"19" "120" "52" "1" " 5. kerület, Ferenciek tere " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"20" "24.9" "37" "1" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA NA
