"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "erkely" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"11" "34.9" "35" "1" " 6. kerület, Csengery utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA "8 000 Ft/hó" NA
"12" "26.6" "46" "2" " 9. kerület, Külso-Ferencváros " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" NA "utca, közterület - ingyenes" "1950 elott" NA NA NA NA
"13" "39.9" "64" "2" " 14. kerület, Nagy Lajos király útja " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "1950-1980 között" "3 m²" "nincs" "20 000 Ft/hó" NA
"14" "51" "60" "2" " 5. kerület, Belváros " "közepes állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA NA
"15" "33" "44" "1" " 7. kerület, Belso-Erzsébetváros " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA "11 000 Ft/hó" NA
"16" "27.3" "38" "1" " 10. kerület, Kobánya – Újhegy " "felújítandó" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" NA "önálló garázs - benne van az árban" "1950 elott" "10 m²" NA NA NA
"17" "24.9" "58" "2" " 17. kerület, Rákoskeresztúri lakótelep " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "4" "nincs" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA NA
"18" "83" "98" "3" " 9. kerület, Ráday utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "északkelet" "nincs megadva" "igen" "nincs megadva" NA "udvari beálló" "1950 elott" NA NA NA NA
"19" "182" "229" "3.5" " 2. kerület, Völgy utca " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "2001-2010 között" "246 m²" NA NA NA
"20" "66.9" "76" "2" " 7. kerület, Király utca " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA NA
