"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg"
"11" "33.9" "73" "2" " 4. kerület, Káposztásmegyer II. lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs megadva" NA
"12" "28.99" "36" "1" " 13. kerület, Pannónia utca 116. " "nincs megadva" NA "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA
"13" "44.5" "54" "2" " 13. kerület, József Attila tér " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "udvari beálló" NA "15 000 Ft/hó"
"14" "94.9" "105" "4" " 13. kerület, Radnóti Miklós utca " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "25 000 Ft/hó"
"15" "49.9" "64" "2" " 2. kerület, Újlak " "közepes állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "dél" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület" NA NA
"16" "70.9" "98" "3" " 9. kerület, Lónyay utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "45 000 Ft/hó"
"17" "23" "54" "2" " 10. kerület, Harmat utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "délnyugat" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" NA
"18" "50.9" "70" "4" " 15. kerület, Rákospalota " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "dél" "nincs megadva" NA "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA
"19" "29.9" "66" "2" " 21. kerület, Csepel-Kertváros " "felújított" "1950-1980 között" "komfortos" "nincs megadva" "4" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "11 m²" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA NA
"20" "39.9" "50" "2" " 7. kerület, Rottenbiller utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
