"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas"
"11" "25" "32" "1" " 14. kerület, Nagy Lajos király útja " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nincs megadva" "egy helyiségben" "észak" "kertre nézo" NA "igen" "nincs megadva" NA "utca, közterület - fizetos övezet"
"12" "38.5" "69" "3" " 3. kerület, Óbudai lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés" "van" NA "igen" "nincs megadva" "kelet" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület"
"13" "28.9" "50" "2" " 3. kerület, Békásmegyeri lakótelep hegy felol " "felújított" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" NA "nincs megadva" "nem tetotéri" "részt vett" "nincs megadva"
"14" "21" "46" "1" " 21. kerület, Árpád utca " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva"
"15" "22.5" "26" "1" " 11. kerület, Bartók Béla út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "nincs megadva"
"16" "32.9" "42" "1" " 7. kerület, Dob utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "nincs megadva"
"17" "32.5" "38" "1" " 7. kerület, Vörösmarty utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "nincs megadva"
"18" "39.9" "30" "1" " 5. kerület, Báthory utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "5 m²" "nincs megadva" "nincs megadva" NA "nincs megadva"
"19" "33.5" "53" "2" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "35 000 Ft/hó" "nem" "egy helyiségben" "nyugat" "panorámás" "3 m²" "nincs megadva" NA NA "utca, közterület - ingyenes"
"20" "58" "102" "4" " 14. kerület, Adria sétány " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nem" "külön helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" NA "önálló garázs"
