"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "panelprogram"
"11" "54.9" "51" "1" " 6. kerület, Csengery utca " "újszeru" NA "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "4 m²" "29 000 Ft/hó" NA
"12" "26.5" "51" "2" " 3. kerület, Hímzo utca " "jó állapotú" "1981-2000 között" "összkomfortos" "FF" "10" "2" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "30 000 Ft/hó" "nem vett részt"
"13" "129" "143" "4" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA "4 m²" NA NA
"14" "35" "73" "3" " 8. kerület, Kálvária utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "50 000 Ft/hó" NA
"15" "52" "75" "3" " 8. kerület, Szilágyi utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "159.9" "119" "3" " 2. kerület, Bem rakpart " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "nincs" "nincs megadva" "nincs megadva" "kelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"17" "98.8" "104" "2" " 5. kerület, Bajcsy-Zsilinszky út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nem" "külön és egyben is" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA "46 000 Ft/hó" NA
"18" "134.99" "132" "3" " 13. kerület, Újpesti rakpart " "felújított" NA "duplakomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "van" NA "50 000 Ft/hó" NA
"19" "59.9" "102" "3" " 7. kerület, Sajó utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA
"20" "23.5" "45" "1" " 15. kerület, Mézeskalács tér " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "12 000 Ft/hó" "nem vett részt"
