"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"11" "28.9" "54" "2" " 20. kerület, Wesselényi utca " NA "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "2 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "van" NA NA
"12" "64.9" "100" "3" " 3. kerület, Dévai Bíró Mátyás tér " NA "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"13" "26.5" "27" "1" " 11. kerület, Rahó utca " NA "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "5" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor), gázkazán" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "15 000 Ft/hó" NA
"14" "55.9" "61" "2" " 7. kerület, Király utca 31. " NA "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" "nincs megadva" NA "van" NA NA
"15" "61.8" "78" "2" " 12. kerület, Kiss János altábornagy utca " NA "közepes állapotú" "1950 elott" "komfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "igen" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"16" "8" "30" "2" " 6. kerület, Szív utca " NA "közepes állapotú" NA "komfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"17" "29" "46" "2" " 8. kerület, Diószegi Sámuel utca " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "nincs megadva" "nincs" "nincs megadva" "nincs megadva" "nem" "egy helyiségben" "kelet" "kertre nézo" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"18" "159" "133" "4" " 5. kerület, Balassi Bálint utca " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "dél" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"19" "21.9" "46" "1" " 21. kerület, Árpád utca " NA "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "részt vett"
"20" "64.9" "73" "2" " 7. kerület, Belso-Erzsébetváros " NA "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
