"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "legkondicionalo" "parkolohely_ara"
"11" "89" "118" "5" " 13. kerület, Kádár utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "45 000 Ft/hó" "nem" "külön és egyben is" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" NA
"12" "89.9" "103" "4" " 9. kerület, Lónyay utca " "felújított" "1950 elott" "luxus" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "28 000 Ft/hó" "nincs megadva" "külön és egyben is" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"13" "28" "56" "2" " 14. kerület, Ornagy utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" NA
"14" "149" "120" "3" " 3. kerület, Jablonka út " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nem" "külön és egyben is" "kelet" "panorámás" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "18 m²" NA "van" NA
"15" "47.9" "67" "2" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "önálló garázs - megvásárolható" "4 m²" "nincs megadva" NA "6 M Ft"
"16" "95" "95" "3" " 13. kerület, Loportár utca " "újszeru" "2017" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "30 000 Ft/hó" "igen" "külön és egyben is" "nincs megadva" "utcai" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" "15 m²" NA "van" NA
"17" "25.9" "54" "2" " 18. kerület, Havanna utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "több mint 10" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" "4 m²" "részt vett" "nincs" NA
"18" "25.9" "54" "2" " 18. kerület, Havanna utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "több mint 10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "4 m²" "részt vett" NA NA
"19" "23.4" "53" "2" " 18. kerület, Havanna-lakótelep " "nincs megadva" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nem vett részt" NA NA
"20" "29.99" "52" "2" " 14. kerület, Nagyzugló " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "2 m²" NA "nincs" NA
