"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"11" "40" "37" "1" " 3. kerület, Kiscelli utca " "újszeru" "2013" "nincs megadva" "nincs megadva" "2" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"12" "36.9" "48" "2" " 3. kerület, Palicsi utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"13" "22.89" "44" "1" " 18. kerület, Építo utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "nincs megadva" NA NA NA
"14" "67" "75" "2" " 6. kerület, Szív utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"15" "53.99" "68" "2" " 14. kerület, Beckó utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "16 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "2.5 M Ft"
"16" "28.9" "51" "2" " 3. kerület, Zemplén Gyozo utca 1. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"17" "23.9" "35" "1" " 8. kerület, Vajda Péter utca " "közepes állapotú" "1950 elott" "komfortos" "HH" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "udvari beálló - bérelheto" NA "25 000 Ft/hó" NA
"18" "36.5" "32" "1" " 13. kerület, Jász utca " "újszeru" "2015" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "egy helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"19" "27.5" "45" "2" " 4. kerület, Attila utca " "jó állapotú" "1950-1980 között" "összkomfortos" "EE" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), hoszivattyú" "van" "nem" "egy helyiségben" "északnyugat" "udvari" "20 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "18 000 Ft/hó" NA
"20" "27" "57" "2" " 4. kerület, Árpád út " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" NA NA
