"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "epites_eve" "legkondicionalo" "rezsikoltseg"
"11" "99.9" "148" "4" " 7. kerület, Rottenbiller utca " "közepes állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "1950 elott" NA NA
"12" "28.5" "72" "3" " 18. kerület, Havanna-lakótelep " "felújított" "összkomfortos" "CC" "5" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nem" "nincs megadva" "részt vett" "utca, közterület - ingyenes" "4 m²" "1981-2000 között" "nincs" NA
"13" "79.5" "60" "2" " 2. kerület, Rézmál " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "7 m²" "1981-2000 között" NA NA
"14" "67" "86" "2" " 5. kerület, Hold utca " "felújítandó" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület" NA "1950 elott" NA NA
"15" "28.5" "72" "3" " 18. kerület, Havanna-lakótelep " "felújítandó" "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nem vett részt" "utca, közterület - ingyenes" "3 m²" NA NA NA
"16" "38.5" "63" "2" " 15. kerület, Bethlen Gábor utca " "felújított" "összkomfortos" "CC" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" NA "önálló garázs - benne van az árban" "20 m²" "1950-1980 között" "van" NA
"17" "34.4" "38" "1" " 13. kerület, Szent László út " "újszeru" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "önálló garázs - megvásárolható" "3 m²" "2001-2010 között" NA NA
"18" "34.4" "38" "1" " 13. kerület, Szent László út " "újszeru" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "önálló garázs - megvásárolható" "3 m²" "2001-2010 között" NA NA
"19" "21.9" "44" "1" " 19. kerület, Kispest " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "2" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "utcai" "igen" "nem tetotéri" NA "utca, közterület - ingyenes" NA "1950-1980 között" "nincs" "10 000 Ft/hó"
"20" "239" "122" "4" " 6. kerület, Andrássy út " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1 m²" "1950 elott" NA NA
