"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "legkondicionalo"
"11" "37.5" "27" "1" " 14. kerület, Törökor " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA "nincs"
"12" "31.9" "42" "1" " 13. kerület, Angyalföld " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "5 m²" "nem" "nem tetotéri" NA "nincs megadva" NA "nincs"
"13" "23" "63" "2" " 21. kerület, Csepel-Szabótelep " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "nincs megadva" NA "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA "nincs"
"14" "28.5" "57" "2" " 18. kerület, Építo utca 18/B " "nincs megadva" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"15" "33.5" "73" "3" " 17. kerület, Borsó utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "30 000 Ft/hó" NA
"16" "21.9" "35" "1" " 14. kerület, Telepes utca " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nem tetotéri" NA "utca, közterület" "20 000 Ft/hó" NA
"17" "36.5" "54" "2" " 14. kerület, Dózsa György út 7. " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "északkelet" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"18" "52.9" "91" "3" " 9. kerület, Soroksári út 36. " "felújítandó" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "udvari beálló - benne van az árban" NA NA
"19" "52.9" "91" "3" " 9. kerület, Pápay István utca 2. " "felújítandó" NA "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" NA "udvari beálló - benne van az árban" NA NA
"20" "23.9" "24" "1" " 13. kerület, Kassák Lajos utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
