"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely"
"11" "37.9" "54" "2" " 13. kerület, Paszomány utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délkelet" "udvari" "nem" "legfelso emelet, nem tetotéri" "nem vett részt" "utca, közterület - fizetos övezet" "van" "27 500 Ft/hó" "3 m²"
"12" "48.9" "73" "3" " 16. kerület, Gálosfa utca 5. " "újszeru" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, padlófutés" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" "van" NA "8 m²"
"13" "33.9" "64" "2" " 8. kerület, Losonci tér " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "50 000 Ft/hó" "4 m²"
"14" "74.99" "78" "3" " 6. kerület, Nagymezo utca " "újszeru" "2019" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"15" "55" "49" "1" " 1. kerület, Attila út 127. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" "25 000 Ft/hó" "5 m²"
"16" "89" "80" "3" " 6. kerület, Szondi utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "tetotéri" NA "nincs megadva" NA NA "7 m²"
"17" "182" "229" "3.5" " 2. kerület, Lipótmezo " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA "246 m²"
"18" "80" "80" "3" " 7. kerület, Rózsa utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA "11 m²"
"19" "37.8" "55" "2" " 16. kerület, Futórózsa utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" NA NA "utca, közterület - ingyenes" "nincs" NA "4 m²"
"20" "86.9" "82" "2" " 6. kerület, Paulay Ede utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
