"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "rezsikoltseg" "legkondicionalo" "parkolohely_ara" "erkely"
"11" "36.9" "50" "2" " 11. kerület, Andor utca " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület" NA NA "van" NA NA
"12" "47.9" "59" "2" " 7. kerület, Belso-Erzsébetváros " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA NA
"13" "54.9" "67" "2" " 11. kerület, Kelenföld " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "távfutés" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA NA NA "3 m²"
"14" "23.5" "35" "1" " 15. kerület, Erdokerülo utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA NA NA NA
"15" "32.99" "40" "1" " 6. kerület, Külso-Terézváros " "jó állapotú" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA NA
"16" "58.9" "60" "2" " 13. kerület, Teve utca 9/b " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "12 000 Ft/hó" NA NA NA
"17" "35.4" "50" "2" " 20. kerület, János utca " "felújított" "nincs megadva" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délkelet" "panorámás" "nem" NA NA "utca, közterület - ingyenes" NA "20 000 Ft/hó" NA NA "7 m²"
"18" "77.9" "76" "3" " 13. kerület, Visegrádi utca " "újszeru" "nincs megadva" "nincs megadva" "3" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "dél" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" "2001-2010 között" "24 000 Ft/hó" NA NA "6 m²"
"19" "53.2" "67" "3" " 4. kerület, Attila utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA "5 m²"
"20" "27.7" "36" "1" " 14. kerület, Padlizsán utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "1950-1980 között" "20 000 Ft/hó" "nincs" NA NA
