"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "parkolohely_ara" "panelprogram"
"11" "69" "73" "3" " 6. kerület, Külso-Terézváros " "felújított" NA "duplakomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "van" NA NA
"12" "67" "94" "3" " 6. kerület, Szív utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "36.5" "45" "2" " 13. kerület, Csanády utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "89.9" "98" "3" " 3. kerület, Rómaifürdo – Rómaipart " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "nincs megadva" "12 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "4 M Ft" NA
"15" "120" "115" "4" " 14. kerület, Alsórákos " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délkelet" "panorámás" "152 m²" "nem" "nincs megadva" "nincs megadva" "25 000 Ft/hó" "van" NA NA
"16" "31.9" "69" "3" " 3. kerület, Óbudai lakótelep " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "kelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "van" NA "nincs megadva"
"17" "149.85" "110" "3" " 3. kerület, Nagyszombat utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "9" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "22 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely" NA NA NA NA
"18" "65.5" "76" "2" " 7. kerület, Bethlen Gábor utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "50 000 Ft/hó" NA NA NA
"19" "65" "71" "2" " 12. kerület, Kléh István utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"20" "56" "80" "3" " 13. kerület, Szent László út " "újszeru" "2019" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "panorámás" "6 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "van" "3.8 M Ft" NA
