"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram"
"11" "49.9" "55" "2" " 6. kerület, Eötvös utca " "felújított" "1950 elott" "luxus" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "fan-coil, elektromos" "van" "10 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "udvari" NA "nem" "tetotéri" "utca, közterület - fizetos övezet" NA NA
"12" "119.9" "120" "3" " 5. kerület, Múzeum körút " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "8" "van" "3 m vagy magasabb" "házközponti" "van" "49 500 Ft/hó" "igen" "külön és egyben is" "délkelet" "utcai" "28 m²" "nem" "nem tetotéri" "utca, közterület" NA NA
"13" "64.9" "68" "3" " 1. kerület, Krisztinaváros – Naphegy " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "10 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"14" "57.7" "63" "2" " 13. kerület, Angyalföld " "újszeru" "2016" "összkomfortos" "A" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "nem" "külön helyiségben" "kelet" "udvari" "6 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" NA
"15" "76.9" "81" "3" " 2. kerület, Margit körút " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (konvektor), egyéb" "nincs" NA "igen" "külön helyiségben" "dél" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"16" "45.9" "71" "2" " 16. kerület, Fohadnagy utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "házközponti" NA NA "nem" "nincs megadva" "délnyugat" "kertre nézo" "3 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"17" "78.9" "83" "2" " 5. kerület, Irányi utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "20 000 Ft/hó" "nem" "külön és egyben is" "délkelet" "utcai" "13 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"18" "64.99" "80" "3" " 6. kerület, Aradi utca 62. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gázkazán" NA "23 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"19" "28.8" "51" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "24 000 Ft/hó" "nem" "külön helyiségben" "kelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" NA "részt vett"
"20" "49.3" "60" "2" " 8. kerület, Gyulai Pál utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "igen" "egy helyiségben" "nincs megadva" "utcai" NA "igen" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
