"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely" "rezsikoltseg" "parkolohely_ara"
"11" "99.9" "107" "1" " 9. kerület, Tinódi utca 1-3 " "újszeru" "2014" "komfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön és egyben is" "dél" "udvari" "nincs megadva" "nem tetotéri" "teremgarázs hely" NA "15 m²" "36 000 Ft/hó" NA
"12" "79.9" "98" "2" " 3. kerület, Nánási út 5-7 " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" NA "42 m²" NA NA
"13" "74.9" "131" "4" " 3. kerület, Királylaki út " "jó állapotú" "1981-2000 között" "duplakomfortos" "EE" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nincs" "nem" "külön és egyben is" "kelet" "panorámás" "igen" "legfelso emelet, nem tetotéri" "önálló garázs - bérelheto" NA "10 m²" NA NA
"14" "86" "180" "5" " 8. kerület, Népszínház utca 27. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "39 000 Ft/hó" NA
"15" "31" "50" "1" " 14. kerület, Amerikai út " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "elektromos, cserépkályha" "nincs" "nem" "egy helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"16" "65.9" "75" "2" " 9. kerület, Tuzoltó utca " "felújított" NA "duplakomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "20 000 Ft/hó" NA
"17" "72" "84" "3" " 11. kerület, Aga utca 8. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "3 m²" NA NA
"18" "48.7" "57" "2" " 11. kerület, Nagyszalonta utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "délnyugat" "panorámás" "nem" "zárószint" "udvari beálló - benne van az árban" NA NA NA NA
"19" "59.9" "60" "2" " 6. kerület, Rippl-Rónai utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "igen" "nincs megadva" "utca, közterület" NA NA "18 000 Ft/hó" NA
"20" "79" "127" "4" " 6. kerület, Podmaniczky utca 87. " "felújított" "1950 elott" "összkomfortos" "DD" "félemelet" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" "igen" "nem tetotéri" "utca, közterület" NA "12 m²" "20 000 Ft/hó" NA
