"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "panelprogram"
"11" "53.9" "78" "3" " 11. kerület, Kelenföld " "jó állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "4.91 m²" NA NA
"12" "95" "107" "3" " 1. kerület, Krisztinaváros – Váralja " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "3 m²" NA NA
"13" "152" "126" "4" " 11. kerület, Zsázsa utca " "újszeru" "2017" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "34 m²" NA NA
"14" "46.5" "53" "2" " 3. kerület, Óbuda – Filatorigát " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "igen" "nincs megadva" "nincs megadva" NA "7.2 m²" NA NA
"15" "93.4" "240" "7" " 10. kerület, Kobánya – Óhegy " "felújítandó" "2020" "összkomfortos" "nincs megadva" "2" "földszintes" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nem" "külön és egyben is" "nincs megadva" "udvari" "igen" "tetotéri" "utca, közterület - ingyenes" "nincs" "40 m²" NA NA
"16" "89" "85" "3" " 6. kerület, Nagymezo utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"17" "39.9" "64" "3" " 13. kerület, Róbert Károly körút " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "36.5" "42" "2" " 14. kerület, Herminamezo " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA
"19" "69.5" "63" "2" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" NA "összkomfortos" "nincs megadva" "4" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nem" "nincs megadva" "nincs megadva" "van" "2.2 m²" NA NA
"20" "82.9" "80" "3" " 5. kerület, Balassi Bálint utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "udvari" "nem" "nincs megadva" "utca, közterület" NA NA NA NA
