"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg"
"11" "27.99" "49" "2" " 3. kerület, Raktár utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "dél" "panorámás" "5 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - fizetos övezet" "nincs" NA NA
"12" "62" "63" "2" " 2. kerület, Horvát utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" NA NA "nincs megadva" NA NA NA
"13" "31.5" "50" "1" " 14. kerület, Egressy út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA
"14" "27.4" "43" "2" " 18. kerület, Lakatos-lakótelep " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"15" "67" "67" "2" " 5. kerület, Mérleg utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "van" NA "30 000 Ft/hó"
"16" "49.9" "80" "3" " 13. kerület, Vizafogó " "közepes állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"17" "28.9" "36" "1" " 14. kerület, Varsó utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "utcai" "6 m²" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "nincs" NA "25 000 Ft/hó"
"18" "26.9" "53" "2" " 19. kerület, Felsokispest " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"19" "58.5" "65" "1" " 5. kerület, Bajcsy-Zsilinszky út " "közepes állapotú" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"20" "48" "70" "2" " 11. kerület, Október huszonharmadika utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "2 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
