"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"11" "49.9" "57" "2" " 13. kerület, Esztergomi út " "felújított" NA "összkomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "kertre nézo" "3 m²" "nincs megadva" NA "utca, közterület" NA NA NA
"12" "36.9" "72" "2" " 13. kerület, Rokolya utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "utcai" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"13" "33.9" "53" "1" " 13. kerület, Dolmány utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA
"14" "66.9" "72" "3" " 11. kerület, Szentimreváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"15" "95" "63" "2" " 1. kerület, Márvány utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "egyéb" "van" "nincs megadva" "nincs megadva" "északnyugat" "kertre nézo" "25 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "5 M Ft" NA NA
"16" "74.9" "95" "2" " 9. kerület, Lónyay utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"17" "21" "40" "1" " 14. kerület, Törökor " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "nincs megadva" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"18" "41.9" "50" "2" " 6. kerület, Jókai utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "van" "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"19" "30.5" "55" "2" " 22. kerület, Bartók Béla út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"20" "30.99" "56" "2" " 14. kerület, Thököly út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (konvektor)" "van" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "3.5 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
