"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara"
"11" "34.2" "29" "1" " 9. kerület, Ráday utca " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "30 000 Ft/hó" NA "1950 elott" "nincs" NA NA
"12" "145" "154" "4" " 7. kerület, Damjanich utca " "jó állapotú" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" "30 Ft/hó" NA "1950 elott" NA "8 m²" NA
"13" "39.9" "65" "2" " 8. kerület, Csepreghy utca " "nincs megadva" "duplakomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "nyugat" "nincs megadva" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "20 000 Ft/hó" NA "2019" NA NA NA
"14" "26" "40" "2" " 20. kerület, Gubacsipuszta " "felújított" "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor), padlófutés" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "igen" "nincs megadva" "nincs megadva" NA NA "1950-1980 között" "nincs" NA NA
"15" "32.5" "39" "1" " 2. kerület, Országút " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA NA
"16" "29.9" "34" "1" " 15. kerület, Palotás utca 2. " "nincs megadva" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "nincs megadva" NA NA "2019" NA "5 m²" NA
"17" "74.9" "42" "2" " 7. kerület, Madách Imre tér " "felújított" "összkomfortos" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "van" NA NA
"18" "31.9" "24" "1" " 5. kerület, Nagy Ignác utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "utca, közterület" "25 000 Ft/hó" NA NA "nincs" NA NA
"19" "49.5" "51" "1" " 1. kerület, Attila út " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "igen" "nem tetotéri" "nincs megadva" "13 000 Ft/hó" NA "1950-1980 között" NA NA NA
"20" "39.9" "98" "3" " 15. kerület, Szerencs utca " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "1950 elott" NA NA NA
