"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "legkondicionalo" "rezsikoltseg" "lakopark_neve"
"11" "225" "125" "3" " 2. kerület, Szeréna út 2. " "felújított" "1981-2000 között" "luxus" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "200 m²" "nincs megadva" "penthouse" "teremgarázs hely - benne van az árban" NA NA NA NA NA
"12" "67.8" "75" "4" " 3. kerület, Ürömhegy " "új építésu" "2019" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "dél" "panorámás" "51.4 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "5 M Ft" NA "van" NA NA
"13" "23.99" "29" "1" " 8. kerület, Népszínház utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"14" "57.9" "64" "2" " 6. kerület, Szív utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "van" "30 000 Ft/hó" NA
"15" "69.9" "93" "3" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "újszeru" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "északkelet" "panorámás" "7 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"16" "75" "33" "1" " 5. kerület, Markó utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "1 m²" "nem" "nem tetotéri" "nincs megadva" NA NA "van" NA NA
"17" "129" "198" "6" " 2. kerület, Guyon Richárd utca " "újszeru" "1981-2000 között" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA NA NA
"18" "62.5" "84" "3" " 13. kerület, Loportár utca " "jó állapotú" "2001-2010 között" "összkomfortos" "CC" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délkelet" "kertre nézo" "4.8 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" NA "van" "37 000 Ft/hó" NA
"19" "139.78" "66" "3" " 2. kerület, Daruház " "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "32.6 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "7 M Ft" NA "van" NA "Daruház"
"20" "129" "118" "3" " 3. kerület, Testvérhegy " "újszeru" "2020" "luxus" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nem" "külön és egyben is" "délnyugat" "panorámás" "41 m²" "igen" "nem tetotéri" "önálló garázs - benne van az árban" NA NA "van" NA NA
