"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"11" "166.92" "117" "4" " 6. kerület, Andrássy út " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" NA NA NA
"12" "28.99" "45" "1" " 4. kerület, Tinódi utca " "jó állapotú" NA "komfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "50" "80" "2" " 8. kerület, Horváth Mihály tér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"14" "32" "89" "3" " 19. kerület, Kispest-Óváros " "jó állapotú" "1950-1980 között" "összkomfortos" "II" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" "12 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" NA "35 000 Ft/hó" NA
"15" "34.5" "53" "2" " 20. kerület, Pacsirtatelep " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"16" "64.9" "83" "3" " 3. kerület, Raktár utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"17" "17.9" "24" "1" " 13. kerület, Angyalföld – Loportárdulo " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "udvari" NA "igen" "nincs megadva" "utca, közterület" NA NA NA NA
"18" "48.5" "41" "2" " 9. kerület, Vendel utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "tetotéri" "teremgarázs hely - megvásárolható" NA NA NA "5.5 M Ft"
"19" "126.5" "106" "3" " 9. kerület, Vendel utca " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA NA "5.5 M Ft"
"20" "59.9" "69" "3" " 9. kerület, Vendel utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "4.22 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA "5.5 M Ft"
