"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "erkely" "rezsikoltseg" "panelprogram"
"11" "36.9" "56" "2" " 12. kerület, Krisztinaváros – Városmajor " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "44.9" "38" "1" " 5. kerület, Szemere utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "igen" "egy helyiségben" "észak" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "2 m²" NA NA
"13" "36" "62" "3" " 2. kerület, Szász Károly utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"14" "55.9" "93" "4" " 2. kerület, Szász Károly utca " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "2 m²" NA NA
"15" "35.8" "50" "2" " 11. kerület, Fraknó utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "külön helyiségben" "észak" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "részt vett"
"16" "24.9" "37" "1" " 8. kerület, Delej utca " "felújított" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "udvari beálló" NA "2 m²" NA NA
"17" "159.9" "151" "3.5" " 1. kerület, Logodi utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "dél" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely" NA "10 m²" NA NA
"18" "45.9" "69" "2" " 13. kerület, Fáy utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"19" "94" "102" "3" " 3. kerület, Óbuda-Óváros " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön és egyben is" "nyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "5 M Ft" "24.1 m²" NA NA
"20" "28.9" "51" "2" " 8. kerület, Stróbl Alajos utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "2 m²" NA NA
