"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg"
"11" "67.5" "90" "2" " 13. kerület, Szent István park " NA "felújítandó" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "4.7 m²" "nem" "nem tetotéri" "nincs megadva" NA NA
"12" "84.5" "86" "4" " 14. kerület, Ilosvai Selymes utca 67. " NA "új építésu" "2019" "duplakomfortos" "AA+" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "23 m²" "nincs megadva" "tetotéri" "teremgarázs hely - megvásárolható" "3.7 M Ft" NA
"13" "69.9" "68" "2" " 5. kerület, Bajcsy-Zsilinszky út 24. " NA "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "kelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"14" "42.5" "60" "2" " 13. kerület, Újlipótváros " NA "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"15" "62.9" "74" "2" " 13. kerület, Katona József utca " NA "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "10 m²" "nem" "nincs megadva" "utca, közterület" NA "35 000 Ft/hó"
"16" "23.99" "33" "1" " 7. kerület, Nefelejcs utca " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"17" "71.9" "73" "4" " 13. kerület, Zsinór39 Projekt " "Zsinór39 Projekt" "új építésu" "2019" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "45.29 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA
"18" "34.8" "32" "1" " 13. kerület, Zsinór utca 39. " NA "nincs megadva" "2020" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "egy helyiségben" "kelet" "panorámás" "10.64 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" NA
"19" "52.79" "58" "3" " 4. kerület, Attila utca 12-18 " NA "új építésu" "2020" "összkomfortos" "CC" "8" "több mint 10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "nyugat" "panorámás" "19 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2.79 M Ft" NA
"20" "52.5" "64" "3" " 14. kerület, Paskal Rose " "Paskal Rose" "új építésu" "2019" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" "18 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" NA
