"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"11" "42.5" "78" "2" " 8. kerület, Baross utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" "nincs" NA NA NA NA
"12" "22.9" "55" "2" " 20. kerület, Erzsébetfalva " "jó állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" NA NA NA "nincs megadva" NA
"13" "72" "91" "3" " 14. kerület, Gyarmat utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" NA "4 m²" NA NA NA
"14" "39.9" "57" "2" " 6. kerület, Izabella utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"15" "79.9" "89" "3" " 2. kerület, Alvinci út " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "19 m²" NA NA NA
"16" "34.8" "52" "2" " 3. kerület, Akác köz " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA "nincs megadva" NA
"17" "31.8" "50" "2" " 4. kerület, Újpest " "új építésu" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "udvari beálló - megvásárolható" "2021" NA "7 m²" NA NA "1.5 M Ft"
"18" "42.9" "44" "1" " 13. kerület, Újlipótváros " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"19" "35.3" "64" "3" " 15. kerület, Újpalota " "közepes állapotú" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "4 m²" "30 000 Ft/hó" "nincs megadva" NA
"20" "21.9" "35" "2" " 18. kerület, Havanna utca " "jó állapotú" "komfortos" "nincs megadva" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "északkelet" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" NA "3 m²" "25 000 Ft/hó" "nem vett részt" NA
