"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "panelprogram" "erkely" "rezsikoltseg"
"11" "129.9" "117" "3" " 2. kerület, Felhévíz " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "79.5" "60" "2" " 2. kerület, Rézmál " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA "7 m²" NA
"13" "28.5" "24" "1" " 13. kerület, Visegrádi utca " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "elektromos" NA "nem" "egy helyiségben" "északkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA "9 000 Ft/hó"
"14" "53.9" "53" "1" " 12. kerület, Németvölgy " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA "3 m²" NA
"15" "26.53" "39" "1" " 13. kerület, Agyag utca " "felújítandó" "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" "1950-1980 között" NA NA NA
"16" "26.5" "56" "1" " 13. kerület, Vizafogó " "felújítandó" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"17" "44.99" "58" "2" " 11. kerület, Fehérvári út " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA "6 m²" NA
"18" "230" "220" "4" " 6. kerület, Teréz körút 1. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "20 m²" NA
"19" "44.9" "54" "2" " 13. kerület, Reitter Ferenc utca " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA "6 m²" NA
"20" "27.5" "36" "1" " 9. kerület, Ülloi út " "jó állapotú" "komfortos" "BB" "7" "10" "van" "3 m-nél alacsonyabb" "házközponti, távfutés" "nincs" "nem" "külön helyiségben" "észak" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1981-2000 között" "nem vett részt" "2 m²" "35 000 Ft/hó"
