"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "epites_eve" "rezsikoltseg" "erkely" "panelprogram"
"11" "29.95" "54" "2" " 8. kerület, Józsefváros – Orczynegyed " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "1950 elott" NA NA NA
"12" "42.95" "66" "3" " 9. kerület, Pöttyös utca " "felújított" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA "30 000 Ft/hó" "12 m²" "nem vett részt"
"13" "41.99" "50" "2" " 6. kerület, Jókai utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs megadva" "külön helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA NA NA
"14" "69.5" "72" "2" " 7. kerület, Külso-Erzsébetváros " "felújított" "duplakomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (cirko)" "nem" "külön és egyben is" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA "2 m²" NA
"15" "42.9" "62" "2" " 2. kerület, Törökvész út 95-97 " "felújított" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" NA "önálló garázs - megvásárolható" "van" "5 M Ft" "1950-1980 között" "35 000 Ft/hó" NA NA
"16" "59.9" "75" "2" " 11. kerület, Kende utca " "felújított" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "1950-1980 között" NA "4.5 m²" NA
"17" "22.9" "32" "1" " 8. kerület, Práter utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA "1950 elott" NA NA NA
"18" "100.15" "146" "4" " 7. kerület, Almássy tér " "felújított" "összkomfortos" "FF" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "1950 elott" "32 000 Ft/hó" "2.2 m²" NA
"19" "67.9" "77" "2" " 5. kerület, Szent István körút " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA "1950 elott" NA NA NA
"20" "139.9" "112" "3" " 1. kerület, Krisztinaváros – Váralja " "felújított" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "1950 elott" NA NA NA
