"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "lakopark_neve" "parkolohely_ara"
"11" "69.9" "85" "3" " 11. kerület, Baranyai utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"12" "17.9" "26" "1" " 8. kerület, Baross utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "25 000 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "17.9" "45" "2" " 10. kerület, Pongrácz út " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" NA "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"14" "32.5" "49" "2" " 7. kerület, Murányi utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "elektromos" NA NA "nem" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "44.9" "86" "3" " 3. kerület, Leányfalu utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "3 m²" NA NA NA
"16" "83.18" "90" "2.5" " 13. kerület, Kassák Residence " "új építésu" "2019" "duplakomfortos" "nincs megadva" "8" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "igen" "külön és egyben is" "kelet" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "16 m²" NA "Kassák Residence" "3.6 M Ft"
"17" "69.95" "43" "1" " 6. kerület, Ó utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "6 m²" NA NA NA
"18" "83.46" "123" "3" " 6. kerület, Aradi utca " "felújított" NA "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "60 000 Ft/hó" "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"19" "51.9" "70" "2" " 3. kerület, Csillaghegy – Forrásliget-lakópark " "jó állapotú" NA "duplakomfortos" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "van" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA NA
"20" "57.13" "100" "4" " 20. kerület, Kossuthfalva " "új építésu" "2018" "duplakomfortos" "AA+" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "igen" "nem tetotéri" "udvari beálló - megvásárolható" "11 m²" NA NA "2 M Ft"
