"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg"
"11" "34.1" "67" "2" " 20. kerület, Lajtha László utca 1. " "jó állapotú" "1950-1980 között" "összkomfortos" "CC" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "külön helyiségben" "nyugat" "panorámás" "6 m²" "nem" NA "utca, közterület - ingyenes" NA "11 390 Ft/hó"
"12" "115.9" "106" "4" " 2. kerület, Szász Károly utca 2. " "felújított" "1950 elott" "duplakomfortos" "DD" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"13" "66.63" "72" "2" " 14. kerület, Furész utca " "új építésu" "2020" "duplakomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "udvari beálló" NA NA
"14" "56" "74" "2.5" " 14. kerület, Szugló utca " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "4 m²" "nincs megadva" "tetotéri" "önálló garázs - kötelezo megvenni" "4 M Ft" NA
"15" "106.75" "103" "3" " 14. kerület, Furész utca 1. " "új építésu" "2020" "duplakomfortos" "nincs megadva" "3" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "32 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"16" "53.8" "48" "2" " 11. kerület, Kopaszi gát " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "22 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"17" "49.9" "39" "2" " 11. kerület, Maléter Pál utca " "új építésu" "2020" "luxus" "AA++" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "nyugat" "panorámás" "9 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"18" "61.7" "87" "3" " 14. kerület, Telepes utca 36. " "új építésu" "2019" "duplakomfortos" "CC" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "van" "nincs megadva" "külön és egyben is" "délnyugat" "udvari" "9 m²" "nem" "tetotéri" "udvari beálló - kötelezo megvenni" "1.5 M Ft" "5 000 Ft/hó"
"19" "72.6" "89" "4" " 14. kerület, Telepes utca 36. " "új építésu" "2019" "duplakomfortos" "CC" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "12 m²" "igen" "nem tetotéri" "udvari beálló - kötelezo megvenni" "1.5 M Ft" "5 000 Ft/hó"
"20" "39.9" "54" "2" " 14. kerület, Handzsár utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
