"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "panelprogram" "rezsikoltseg"
"11" "36.9" "49" "2" " 9. kerület, Középso-Ferencváros " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA
"12" "79.99" "78" "3" " 6. kerület, Eötvös utca " "újszeru" "2017" "luxus" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "hoszivattyú" "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" "8 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA
"13" "185" "110" "3" " 6. kerület, Andrássy út 74. " "újszeru" "1950 elott" "luxus" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "dél" "utcai" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "van" NA NA
"14" "27.9" "59" "2" " 19. kerület, Petofi utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "nincs megadva" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA "nincs megadva" NA
"15" "24.9" "29" "1" " 9. kerület, Erkel utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "71.9" "101" "3" " 8. kerület, Józsefváros – Orczynegyed " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "10 000 Ft/hó"
"17" "24.9" "32" "1" " 14. kerület, Alsórákos " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "délnyugat" "udvari" "24 m²" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA "25 000 Ft/hó"
"18" "48.5" "43" "1" " 7. kerület, Rózsa utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északkelet" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"19" "24.9" "50" "2" " 10. kerület, Állomás utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA
"20" "23.6" "45" "1" " 22. kerület, Csút utca 8/b " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA NA
