"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "epites_eve" "legkondicionalo"
"11" "42.5" "115" "3" " 20. kerület, Pirók Gyula utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" NA "önálló garázs - benne van az árban" NA "2001-2010 között" "van"
"12" "35.5" "67" "3" " 3. kerület, Óbudai lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2.5 m²" NA NA
"13" "39.99" "58" "2" " 11. kerület, Kelenföld " "jó állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" "3 m²" "1950-1980 között" NA
"14" "35.9" "51" "2" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "kelet" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület" NA "1950 elott" NA
"15" "26.9" "30" "1" " 3. kerület, Óbuda-Óváros " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "16 000 Ft/hó" "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "1950-1980 között" NA
"16" "54" "62" "2" " 6. kerület, Teréz körút " "jó állapotú" "összkomfortos" "A" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "40 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" NA "1950 elott" "van"
"17" "31.9" "68" "3" " 10. kerület, Kobánya – Újhegyi lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" "28 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2.6 m²" NA NA
"18" "24.5" "31" "1" " 10. kerület, Kobánya – Újhegyi lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "22 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "2001-2010 között" NA
"19" "36.9" "71" "2" " 4. kerület, Rózsa utca " "jó állapotú" "összkomfortos" "F" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA "1950-1980 között" "van"
"20" "24.5" "31" "1" " 10. kerület, Újhegy – Rózsaliget lakópark " "jó állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "28 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
