"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"11" "44" "44" "1" " 13. kerület, Jászai Mari tér " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "6 m²" NA NA
"12" "139" "146" "3" " 3. kerület, Remetehegy " "nincs megadva" "2020" "luxus" "AA+" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, megújuló energia" "van" "igen" "külön és egyben is" "délnyugat" "panorámás" "nincs megadva" "penthouse" "teremgarázs hely - megvásárolható" NA "135 m²" NA NA
"13" "79.9" "117" "4" " 2. kerület, Rózsadomb " "közepes állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"14" "82.9" "97" "3" " 9. kerület, Középso-Ferencváros – Malmok " "nincs megadva" "2018" "duplakomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "külön helyiségben" "dél" "panorámás" "nem" "tetotéri" "utca, közterület - fizetos övezet" "25 000 Ft/hó" "32 m²" NA NA
"15" "99.9" "52" "1" " 5. kerület, Alkotmány utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "42.9" "73" "3" " 10. kerület, Laposdulo " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "házközponti" "van" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "50 000 Ft/hó" "4 m²" "nem vett részt" NA
"17" "36.5" "73" "2.5" " 17. kerület, Újlak utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "3 m²" "nincs megadva" NA
"18" "24.9" "48" "2" " 13. kerület, Angyalföld – Loportárdulo " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "észak" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"19" "62.6" "68" "3" " 3. kerület, Csillaghegy – Forrásliget-lakópark " "jó állapotú" "2001-2010 között" "duplakomfortos" "D" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" NA "4 m²" NA NA
"20" "23.9" "27" "1" " 17. kerület, Borsó utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA
