"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"11" "63.9" "84" "2" " 13. kerület, Újlipótváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA
"12" "32.9" "51" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "nincs megadva" "utcai" NA "nem" "nincs megadva" "utca, közterület" "részt vett" NA NA NA
"13" "78" "70" "2" " 11. kerület, Schweidel utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "46" "61" "2" " 7. kerület, Dob utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "9.9" "32" "1" " 23. kerület, Soroksár – Vargatelep " "felújítandó" "1950-1980 között" "félkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"16" "37.2" "56" "2" " 13. kerület, Angyalföldi út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "nincs megadva" NA NA NA
"17" "41.9" "67" "2" " 14. kerület, Istvánmezo " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "udvari" NA "igen" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "36.5" "45" "2" " 11. kerület, Albertfalvai lakótelep " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"19" "47.9" "62" "2" " 8. kerület, Kölcsey utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA NA "30 000 Ft/hó" NA
"20" "27.7" "35" "1" " 13. kerület, Fiastyúk utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "nincs" NA NA
