"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "erkely" "parkolohely_ara"
"11" "58.9" "71" "2" " 13. kerület, Katona József utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"12" "76" "92" "3" " 5. kerület, Belgrád rakpart 21. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" "nincs" NA NA NA NA
"13" "136" "144" "4" " 12. kerület, Farkasvölgy " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "49 m²" NA
"14" "32" "56" "2" " 14. kerület, Ond vezér útja " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "részt vett" NA NA
"15" "74.8" "67" "2" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"16" "28.9" "27" "1" " 6. kerület, Székely Bertalan utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA NA
"17" "29.9" "53" "2" " 18. kerület, Havanna-lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA "részt vett" "4 m²" NA
"18" "62.9" "78" "3" " 2. kerület, Tárogató út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "önálló garázs - kötelezo megvenni" NA NA NA "4 m²" "6 M Ft"
"19" "32" "63" "3" " 10. kerület, Kápolna utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA NA
"20" "26.3" "51" "2" " 3. kerület, Lukács György utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" "4 m²" NA
