"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "legkondicionalo" "parkolohely_ara"
"11" "65.5" "67" "2" " 2. kerület, Szász Károly utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "13 740 Ft/hó" NA NA NA NA
"12" "59" "66" "2" " 1. kerület, Attila út " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA "van" NA
"13" "39.9" "55" "2" " 9. kerület, Napfény utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" NA "utca, közterület - ingyenes" NA "5 m²" NA NA NA
"14" "35.5" "42" "2" " 14. kerület, Herminamezo " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"15" "49.9" "51" "2" " 14. kerület, Thököly út 31. " "újszeru" "2011" "összkomfortos" "CC" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "5 m²" NA "van" "1.5 M Ft"
"16" "29.9" "39" "1" " 3. kerület, Gyógyszergyár utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "15 000 Ft/hó" "10 m²" "nem vett részt" "nincs" NA
"17" "30.5" "57" "2" " 3. kerület, Zsirai Miklós utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "dél" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA NA
"18" "23.9" "38" "1" " 7. kerület, István utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"19" "59.9" "68" "2" " 5. kerület, Belváros " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"20" "49" "92" "4" " 14. kerület, Furész utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "igen" "tetotéri" "önálló garázs" NA "3 m²" NA NA NA
