"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "panelprogram" "lakopark_neve" "parkolohely_ara"
"11" "65.9" "72" "3" " 2. kerület, Országút " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön és egyben is" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "4 m²" NA NA NA NA
"12" "74" "53" "2" " 3. kerület, Miléva Ház " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "mennyezeti hutés-futés, megújuló energia" NA "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "13.39 m²" NA NA "Miléva Ház" "5 M Ft"
"13" "73.5" "53" "2" " 3. kerület, Miléva Ház " "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "4" "van" "nincs megadva" "mennyezeti hutés-futés, megújuló energia" NA "igen" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "24.81 m²" NA NA "Miléva Ház" "5 M Ft"
"14" "26.5" "28" "1" " 7. kerület, Péterfy Sándor utca " "nincs megadva" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"15" "63" "77" "3" " 6. kerület, Kmety György utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"16" "28.5" "35" "2" " 13. kerület, Angyalföld – Fiastyúk utcai lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "30 000 Ft/hó" NA NA NA
"17" "39.9" "65" "3" " 11. kerület, Etele út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "dél" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "4 m²" "12 250 Ft/hó" "részt vett" NA NA
"18" "57.2" "60" "2" " 7. kerület, Nagy Diófa utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"19" "62.9" "94" "3" " 11. kerület, Kelenföld " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "nincs megadva" "kertre nézo" "nem" "tetotéri" "önálló garázs - bérelheto" NA NA NA NA NA
"20" "37.5" "53" "2" " 3. kerület, Óbuda-Óváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
