"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "parkolohely_ara" "legkondicionalo" "rezsikoltseg"
"11" "38.6" "65" "3" " 11. kerület, Fehérvári út " "közepes állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "dél" "panorámás" "4 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "1950-1980 között" NA "nincs" NA
"12" "49.99" "95" "2" " 8. kerület, Józsefváros – Csarnoknegyed " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" NA "nincs" "28 400 Ft/hó"
"13" "29.9" "31" "1" " 6. kerület, Mozsár utca " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA "nincs" NA
"14" "43" "58" "3" " 7. kerület, Damjanich utca " "közepes állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"15" "78.7" "111" "4" " 11. kerület, Hengermalom út " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"16" "19.9" "38" "1" " 10. kerület, Laposdulo – Pongrácz úti lakótelep " "felújítandó" "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nem" "nincs megadva" "kelet" "kertre nézo" NA "nem" "nincs megadva" NA "utca, közterület" "1950 elott" NA NA NA
"17" "46.9" "69" "3" " 7. kerület, Dohány utca " "felújítandó" "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" NA "nincs" NA
"18" "35.9" "40" "2" " 14. kerület, Alsórákos " "újszeru" "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "6 m²" "nincs megadva" "nem tetotéri" NA "udvari beálló" "2001-2010 között" NA NA NA
"19" "39.9" "68" "2" " 14. kerület, Alsórákos – Füredi utcai lakótelep " "felújított" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "dél" "utcai" "2 m²" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "1950-1980 között" NA "nincs" "30 000 Ft/hó"
"20" "77.2" "92" "4" " 4. kerület, Csíksomlyó utca " "felújított" "duplakomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "észak" "kertre nézo" "5 m²" "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" "2001-2010 között" NA NA NA
