"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"11" "41.9" "52" "2" " 13. kerület, Szent László út " "jó állapotú" "2001-2010 között" "összkomfortos" "CC" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "dél" "utcai" "3 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA NA NA
"12" "39.9" "58" "2" " 13. kerület, Pannónia utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva"
"13" "110" "84" "2" " 5. kerület, Molnár utca 13. " "újszeru" "2011" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "panorámás" "4 m²" "nem" "tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
"14" "73.9" "85" "4" " 14. kerület, Ilosvai Selymes utca 67. " "új építésu" "2019" "összkomfortos" "AA+" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "8 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "3.7 M Ft" NA
"15" "51.9" "67" "2" " 11. kerület, Kökörcsin utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "3.5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "79.9" "102" "3" " 7. kerület, Nyár utca " "felújított" NA "duplakomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "2.5 m²" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA
"17" "84.99" "79" "2" " 5. kerület, Aranykéz utca 7. " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "6" "van" "nincs megadva" "házközponti" "igen" "külön és egyben is" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"18" "109.9" "142" "4" " 5. kerület, Szent István körút " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "7 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "139.9" "76" "2" " 5. kerület, Bajcsy-Zsilinszky út 16. " "felújított" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA
"20" "49.9" "53" "2" " 9. kerület, Liliom utca 46. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délkelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
