"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"11" "55" "72" "3" " 13. kerület, Radnóti Miklós utca " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "1950 elott" "van" NA NA
"12" "89.99" "98" "4" " 3. kerület, Nánási út 5. " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "47 m²" "igen" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2001-2010 között" NA "38 000 Ft/hó" "5 M Ft"
"13" "26.8" "35" "1" " 13. kerület, Angyalföld – Loportárdulo " "felújított" "összkomfortos" "nincs megadva" "10" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "kelet" "panorámás" NA "nincs megadva" "nincs megadva" "részt vett" "utca, közterület" NA NA NA NA
"14" "119.8" "143" "5" " 13. kerület, Újlipótváros " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "utcai" "2 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"15" "39.9" "68" "2" " 14. kerület, Ond vezér útja " "felújítandó" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "35 000 Ft/hó" NA
"16" "37.9" "53" "2" " 14. kerület, Sárköz utca " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "délkelet" "kertre nézo" "4.5 m²" "nem" NA NA "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA NA
"17" "55.3" "60" "2" " 2. kerület, Felvinci út " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "kertre nézo" "4 m²" "nem" "nem tetotéri" NA "utca, közterület" "1950-1980 között" "nincs" NA NA
"18" "42.9" "45" "2" " 9. kerület, Ipar utca " "újszeru" "összkomfortos" "nincs megadva" "4" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "kelet" "utcai" "4 m²" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "2001-2010 között" "van" "16 000 Ft/hó" NA
"19" "20.5" "42" "2" " 8. kerület, Koris utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "igen" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"20" "71.9" "74" "3" " 6. kerület, Belso-Terézváros " "felújított" "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
