"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "panelprogram" "legkondicionalo" "parkolohely_ara" "rezsikoltseg"
"11" "45" "50" "2" " 9. kerület, Ráday utca 60. " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, elektromos" "nem" "külön helyiségben" "északkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA "van" NA "15 000 Ft/hó"
"12" "59.9" "103" "3" " 7. kerület, Damjanich utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" NA "nincs" NA NA
"13" "89" "75" "2" " 12. kerület, Apor Vilmos tér " "újszeru" "összkomfortos" "AA" "4" "7" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "utcai" "14 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "2019" NA "van" NA "10 000 Ft/hó"
"14" "40.9" "82" "2" " 20. kerület, Téglagyártó utca 9. " "újszeru" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "padlófutés, gáz (cirko)" "igen" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "2001-2010 között" NA "nincs" NA "15 000 Ft/hó"
"15" "32.4" "33" "1" " 14. kerület, Istvánmezei út " "új építésu" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"16" "99.9" "76" "2" " 5. kerület, Báthory utca 23. " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "udvari beálló" NA NA "van" NA NA
"17" "169.9" "85" "3" " 5. kerület, Hercegprímás utca " "felújított" "luxus" "nincs megadva" "4" "7" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "panorámás" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "van" NA NA
"18" "74.9" "76" "3" " 6. kerület, Podmaniczky utca 67. " "felújított" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA "van" NA NA
"19" "36.9" "39" "1" " 13. kerület, Hollán Erno utca 31. " "felújított" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "van" NA "25 000 Ft/hó"
"20" "29.5" "57" "2" " 18. kerület, Kézmuves utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA "van" NA NA
