"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"11" "25.5" "51" "2" " 3. kerület, Hatvany Lajos utca 14. " "felújítandó" NA "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "9 800 Ft/hó" "nincs megadva"
"12" "75.9" "58" "1" " 2. kerület, Boróka utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "3" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "8 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" "6 M Ft" NA NA
"13" "39.9" "36" "1" " 2. kerület, Zöldko utca 11-17 " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "9 m²" "igen" "nem tetotéri" "utca, közterület" NA NA "6 800 Ft/hó" NA
"14" "44.9" "67" "2" " 7. kerület, Damjanich utca 45. " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "elektromos, cserépkályha" "nincs megadva" "külön helyiségben" "északnyugat" "nincs megadva" NA "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" "nincs" NA NA NA
"15" "32.8" "64" "2" " 15. kerület, Bánkút utca 53. " "felújított" "1950-1980 között" "összkomfortos" "G" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "udvari" "5 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "van" NA NA NA
"16" "39.49" "61" "2" " 10. kerület, Kis Gergely utca " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "tetotéri" "udvari beálló - benne van az árban" "van" NA "30 000 Ft/hó" NA
"17" "36.5" "41" "2" " 6. kerület, Bajza utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA NA NA
"18" "50" "70" "2" " 11. kerület, Zámori utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "37.9" "57" "2" " 14. kerület, Hungária körút " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"20" "38.5" "59" "2" " 8. kerület, Leonardo da Vinci utca 4-6. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "6 m²" "nincs megadva" NA "utca, közterület" NA NA NA NA
