"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "panelprogram"
"11" "31.8" "33" "1" " 2. kerület, Keleti Károly utca 31/B " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület" NA "4 m²" "7 000 Ft/hó" NA
"12" "29.8" "30" "1" " 2. kerület, Keleti Károly utca 31/B " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA "5.5 m²" "6 000 Ft/hó" NA
"13" "83" "72" "3" " 7. kerület, Madách Imre út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m vagy magasabb" "házközponti" "igen" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" NA "30 000 Ft/hó" NA
"14" "28.99" "33" "1" " 7. kerület, Dohány utca " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "egyéb" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"15" "20.5" "15" "1" " 6. kerület, Bajnok utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "49.5" "80" "2.5" " 3. kerület, Silvanus sétány " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "5 m²" NA "nincs megadva"
"17" "21.9" "50" "2" " 10. kerület, Doba utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"18" "34.7" "37" "1" " 6. kerület, Szív utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "30.9" "43" "2" " 1. kerület, Víziváros – Váralja " "nincs megadva" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "23" "54" "2" " 10. kerület, Harmat utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "3 m²" NA "nincs megadva"
