"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "parkolohely_ara" "legkondicionalo" "rezsikoltseg"
"11" "200" "134" "3" " 5. kerület, Belgrád rakpart " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"12" "79.9" "80" "2" " 2. kerület, Rózsadomb " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "igen" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA "37 000 Ft/hó"
"13" "28.9" "40" "1" " 11. kerület, Lágymányos – Muegyetem környéke " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA "nincs" NA
"14" "13.3" "17" "1" " 8. kerület, Visi Imre utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "nincs" NA
"15" "33" "70" "3" " 15. kerület, Újpalota " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" NA NA "30 000 Ft/hó"
"16" "24.3" "32" "1" " 8. kerület, Karácsony Sándor utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "kelet" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA "nincs" NA
"17" "25.9" "51" "2" " 17. kerület, Rákoskeresztúri lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "részt vett" NA NA "30 000 Ft/hó"
"18" "18.9" "35" "1" " 10. kerület, Kobánya – Óhegy " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "3.5 m²" "nincs megadva" NA NA "35 000 Ft/hó"
"19" "38" "71" "2" " 4. kerület, Virág utca " "nincs megadva" NA "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva" NA NA NA
"20" "32" "40" "1" " 8. kerület, Tolnai Lajos utca " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA "nincs" NA
