"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara"
"11" "69.9" "90" "3" " 7. kerület, Kertész utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "2 m²" NA
"12" "43.95" "69" "3" " 3. kerület, Óbudai lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "25 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - fizetos övezet" "van" NA NA
"13" "44.9" "47" "1" " 6. kerület, Belso-Terézváros " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"14" "37.6" "56" "3" " 13. kerület, Angyalföld – Loportárdulo " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA NA NA
"15" "84.99" "95" "2" " 2. kerület, Török utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"16" "29.9" "43" "1" " 19. kerület, Wekerletelep " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "igen" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" NA "udvari beálló - benne van az árban" "nincs" NA NA
"17" "64" "81" "2" " 1. kerület, Attila út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"18" "62.9" "81" "3" " 14. kerület, Mogyoródi út " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "6 m²" NA
"19" "57.6" "74" "2" " 7. kerület, Rákóczi út " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"20" "102.8" "122" "4" " 7. kerület, Wesselényi utca " "felújított" "1950-1980 között" "luxus" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "van" NA NA
