"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "erkely" "legkondicionalo" "rezsikoltseg"
"11" "29.9" "32" "1" " 3. kerület, Meggyfa utca " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "4" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "62" "61" "2" " 11. kerület, Szentimreváros " "közepes állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" "5 m²" NA NA
"13" "55.9" "60" "2" " 11. kerület, Kelenföld – Nádorliget-lakópark " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "2001-2010 között" "20 m²" NA NA
"14" "53" "46" "1" " 1. kerület, Krisztinaváros – Váralja " "felújítandó" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" "6 m²" NA NA
"15" "36" "40" "2" " 14. kerület, Öv utca 133. " "újszeru" "összkomfortos" "AA" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" NA "teremgarázs hely" "2013" "4 m²" NA "18 000 Ft/hó"
"16" "54.9" "64" "2" " 11. kerület, Sashegy " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" "8 m²" NA NA
"17" "22.9" "45" "1" " 14. kerület, Kövér Lajos köz " "felújítandó" "komfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "elektromos, vegyes tüzelésu kazán" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "igen" "nincs megadva" NA "utca, közterület - ingyenes" "1950 elott" "5 m²" NA NA
"18" "49.99" "60" "2" " 11. kerület, Kelenföldi lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" "3 m²" NA NA
"19" "92.9" "88" "3" " 13. kerület, Balzac utca " "felújított" "luxus" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA "van" NA
"20" "39" "47" "1" " 6. kerület, Külso-Terézváros " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "cserépkályha, elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA "25 000 Ft/hó"
