"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "legkondicionalo" "parkolohely_ara"
"11" "27.9" "50" "2" " 3. kerület, Juhász Gyula utca " NA "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "2.8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"12" "42" "48" "2" " 11. kerület, Kelenföld " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"13" "44.5" "54" "2" " 12. kerület, Mártonhegy " NA "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"14" "32.9" "132" "5.5" " 3. kerület, Csúcshegy " NA "felújítandó" "1981-2000 között" "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nem" "külön helyiségben" "dél" "kertre nézo" "6 m²" "igen" "nincs megadva" "nincs megadva" NA NA "nincs" NA
"15" "50.9" "63" "2" " 7. kerület, Akácfa utca " NA "felújítandó" NA "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "27.9" "30" "1" " 11. kerület, Lágymányosi lakótelep " NA "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"17" "28.2" "69" "3" " 3. kerület, Óbudai lakótelep " NA "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"18" "32.9" "33" "1" " 14. kerület, Törökor " NA "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"19" "41.5" "50" "2" " 14. kerület, Paskal Garden " "Paskal Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "10.3 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "61.9" "74" "3" " 14. kerület, Paskal Garden " "Paskal Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "24.9 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
